
16:35:39.996 INFO ParseArchs(): Active architecture: i386

16:35:39.996 WARNING ExecuteTask(): org.intel.xrt_builder.Algorithms.BuildAppAlgorithm

16:35:39.997 INFO start(): Running command line: "[xcodebuild ARCHS=i386  -configuration Debug -sdk iphonesimulator9.1 -target ios -project /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/ios/xcode/ios.xcodeproj]"
16:35:52.524 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.022 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetFallbacks' from MGCopyAnswer got '{"

16:35:52.524 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.524 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.524 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.023 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetClass' from MGCopyAnswer got '{"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.023 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetFallbacks' from MGCopyAnswer got '{"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.023 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetClass' from MGCopyAnswer got '{"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.023 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetFallbacks' from MGCopyAnswer got '{"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.023 Interface Builder Cocoa Touch Tool[1673:109695] Please stop using -"

16:35:52.525 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.024 Interface Builder Cocoa Touch Tool[1673:109695] Please stop using -"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.027 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetClass' from MGCopyAnswer got '{"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceScaleFactor = "-1";"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "    DevicePerformanceMemoryClass = 1;"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "}'"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "2015-12-03 16:35:52.027 Interface Builder Cocoa Touch Tool[1673:109695] CoreUI: CUICatalog: couldn't get 'kMGArtworkGraphicsFeatureSetFallbacks' from MGCopyAnswer got '{"

16:35:52.526 INFO run(): module "runXCodeBuild": out_stream: "    ArtworkDeviceIdiom = pad;"

